,income_group,region_group,literacy_1524_m,Sex,Location,Wealth,year,Completed_UpSec,Completed_LowSec,Completed_Prim
3080,Lower middle income countries,Central and Southern Asia,0.838,,,Quintile 3,2014.0,6.279999999999999,52.23,83.03
3081,Lower middle income countries,Central and Southern Asia,0.8895,,,Quintile 3,2014.0,13.4,63.81,88.57000000000001
3082,Lower middle income countries,Central and Southern Asia,0.8942,,,Quintile 3,2014.0,18.72,67.7,91.52
3083,Lower middle income countries,Central and Southern Asia,0.9016,,,Quintile 3,2014.0,25.6,58.19,90.61
3084,Lower middle income countries,Central and Southern Asia,0.7356,,,Quintile 3,2014.0,10.27,50.79,76.14
3085,Lower middle income countries,Central and Southern Asia,0.9528,,,Quintile 4,2014.0,35.839999999999996,83.05,93.47999999999999
3086,Lower middle income countries,Central and Southern Asia,0.901,,,Quintile 4,2014.0,15.370000000000001,61.9,86.38
3087,Lower middle income countries,Central and Southern Asia,0.8211,,,Quintile 4,2014.0,19.41,55.13,83.91999999999999
3088,Lower middle income countries,Central and Southern Asia,0.9386,,,Quintile 4,2014.0,29.34,75.82,93.61
3089,Lower middle income countries,Central and Southern Asia,0.938,,,Quintile 4,2014.0,37.6,79.80000000000001,94.67
3090,Lower middle income countries,Central and Southern Asia,0.9713,,,Quintile 4,2014.0,46.46,84.31,95.21
3091,Lower middle income countries,Central and Southern Asia,0.8457,,,Quintile 4,2014.0,12.68,60.309999999999995,79.62
3092,Lower middle income countries,Central and Southern Asia,0.9654,,,Quintile 5,2014.0,73.83999999999999,89.45,95.17999999999999
3093,Lower middle income countries,Central and Southern Asia,0.9617,,,Quintile 5,2014.0,29.439999999999998,70.57,92.77
3094,Lower middle income countries,Central and Southern Asia,0.9429,,,Quintile 5,2014.0,34.150000000000006,66.89,83.09
3095,Lower middle income countries,Central and Southern Asia,0.9734,,,Quintile 5,2014.0,50.86000000000001,86.39,96.28999999999999
3096,Lower middle income countries,Central and Southern Asia,0.9927,,,Quintile 5,2014.0,58.620000000000005,86.11999999999999,98.99
3097,Lower middle income countries,Central and Southern Asia,0.9854,,,Quintile 5,2014.0,48.78,83.47,92.32000000000001
3098,Lower middle income countries,Central and Southern Asia,0.9667,,,Quintile 5,2014.0,32.41,65.53,90.84
3099,Lower middle income countries,Central and Southern Asia,0.9201,,Rural,,2006.0,,,
3100,Lower middle income countries,Central and Southern Asia,0.9477,,Rural,,2006.0,,,
3101,Lower middle income countries,Central and Southern Asia,0.9235,,Rural,,2006.0,,,
3102,Lower middle income countries,Central and Southern Asia,0.878,,Rural,,2006.0,,,
3103,Lower middle income countries,Central and Southern Asia,0.9626,,Urban,,2006.0,,,
3104,Lower middle income countries,Central and Southern Asia,0.9848,,Urban,,2006.0,,,
3105,Lower middle income countries,Central and Southern Asia,0.9862,,Urban,,2006.0,,,
3106,Lower middle income countries,Central and Southern Asia,1.0,,Urban,,2006.0,,,
3107,Lower middle income countries,Central and Southern Asia,0.9508,,Rural,,2006.0,,,
3108,Lower middle income countries,Central and Southern Asia,0.9498,,Rural,,2006.0,,,
3109,Lower middle income countries,Central and Southern Asia,0.951,,Rural,,2006.0,,,
3110,Lower middle income countries,Central and Southern Asia,0.9159,,Rural,,2006.0,,,
3111,Lower middle income countries,Central and Southern Asia,0.9674,,Urban,,2006.0,,,
3112,Lower middle income countries,Central and Southern Asia,0.987,,Urban,,2006.0,,,
3113,Lower middle income countries,Central and Southern Asia,0.9809,,Urban,,2006.0,,,
3114,Lower middle income countries,Central and Southern Asia,0.9601,,Urban,,2006.0,,,
3115,Lower middle income countries,Central and Southern Asia,0.8373,Female,Rural,,2006.0,,,
3116,Lower middle income countries,Central and Southern Asia,0.9215,Female,Urban,,2006.0,,,
3117,Lower middle income countries,Central and Southern Asia,0.5706,Female,Rural,Quintile 1,2006.0,,,
3118,Lower middle income countries,Central and Southern Asia,0.727,Female,Rural,Quintile 2,2006.0,,,
3119,Lower middle income countries,Central and Southern Asia,0.8447,Female,Rural,Quintile 3,2006.0,,,
3120,Lower middle income countries,Central and Southern Asia,0.9332,Female,Rural,Quintile 4,2006.0,,,
3121,Lower middle income countries,Central and Southern Asia,0.9778,Female,Rural,Quintile 5,2006.0,,,
3122,Lower middle income countries,Central and Southern Asia,0.5322,Female,Urban,Quintile 1,2006.0,,,
3123,Lower middle income countries,Central and Southern Asia,0.6642,Female,Urban,Quintile 2,2006.0,,,
3124,Lower middle income countries,Central and Southern Asia,0.7864,Female,Urban,Quintile 3,2006.0,,,
3125,Lower middle income countries,Central and Southern Asia,0.8862,Female,Urban,Quintile 4,2006.0,,,
3126,Lower middle income countries,Central and Southern Asia,0.968,Female,Urban,Quintile 5,2006.0,,,
3127,Lower middle income countries,Central and Southern Asia,0.7302,,Rural,Quintile 1,2006.0,,,
3128,Lower middle income countries,Central and Southern Asia,0.8516,,Rural,Quintile 2,2006.0,,,
3129,Lower middle income countries,Central and Southern Asia,0.9238,,Rural,Quintile 3,2006.0,,,
3130,Lower middle income countries,Central and Southern Asia,0.97,,Rural,Quintile 4,2006.0,,,
3131,Lower middle income countries,Central and Southern Asia,0.9902,,Rural,Quintile 5,2006.0,,,
3132,Lower middle income countries,Central and Southern Asia,0.6582,,Urban,Quintile 1,2006.0,,,
3133,Lower middle income countries,Central and Southern Asia,0.8024,,Urban,Quintile 2,2006.0,,,
3134,Lower middle income countries,Central and Southern Asia,0.885,,Urban,Quintile 3,2006.0,,,
3135,Lower middle income countries,Central and Southern Asia,0.9444,,Urban,Quintile 4,2006.0,,,
3136,Lower middle income countries,Central and Southern Asia,0.9853,,Urban,Quintile 5,2006.0,,,
3137,Lower middle income countries,Central and Southern Asia,0.872,Female,,,2006.0,,,
3138,Lower middle income countries,Central and Southern Asia,0.8719,Female,,,2006.0,,,
3139,Lower middle income countries,Central and Southern Asia,0.8919,Female,,,2006.0,,,
3140,Lower middle income countries,Central and Southern Asia,0.9598,Female,,,2006.0,,,
3141,Lower middle income countries,Central and Southern Asia,0.8833,Female,,,2006.0,,,
3142,Lower middle income countries,Central and Southern Asia,0.7241,Female,,,2006.0,,,
3143,Lower middle income countries,Central and Southern Asia,0.8413,Female,,,2006.0,,,
3144,Lower middle income countries,Central and Southern Asia,0.8568,Female,,,2006.0,,,
3145,Lower middle income countries,Central and Southern Asia,0.8911,Female,,,2006.0,,,
3146,Lower middle income countries,Central and Southern Asia,0.8778,Female,,,2006.0,,,
3147,Lower middle income countries,Central and Southern Asia,0.8658,Female,,,2006.0,,,
3148,Lower middle income countries,Central and Southern Asia,0.8628,Female,,,2006.0,,,
3149,Lower middle income countries,Central and Southern Asia,0.8376,Female,,,2006.0,,,
3150,Lower middle income countries,Central and Southern Asia,0.8952,Female,,,2006.0,,,
3151,Lower middle income countries,Central and Southern Asia,0.9243,Female,,,2006.0,,,
3152,Lower middle income countries,Central and Southern Asia,0.9181,Female,,,2006.0,,,
3153,Lower middle income countries,Central and Southern Asia,0.866,Female,,,2006.0,,,
3154,Lower middle income countries,Central and Southern Asia,0.5666,Female,,Quintile 1,2006.0,,,
3155,Lower middle income countries,Central and Southern Asia,0.7199,Female,,Quintile 2,2006.0,,,
3156,Lower middle income countries,Central and Southern Asia,0.8355,Female,,Quintile 3,2006.0,,,
3157,Lower middle income countries,Central and Southern Asia,0.9208,Female,,Quintile 4,2006.0,,,
3158,Lower middle income countries,Central and Southern Asia,0.9703,Female,,Quintile 5,2006.0,,,
3159,Lower middle income countries,Central and Southern Asia,0.5378,Female,,Quintile 1,2006.0,,,
3160,Lower middle income countries,Central and Southern Asia,0.6498,Female,,Quintile 1,2006.0,,,
3161,Lower middle income countries,Central and Southern Asia,0.5754,Female,,Quintile 1,2006.0,,,
3162,Lower middle income countries,Central and Southern Asia,0.524,Female,,Quintile 1,2006.0,,,
3163,Lower middle income countries,Central and Southern Asia,0.5517,Female,,Quintile 1,2006.0,,,
3164,Lower middle income countries,Central and Southern Asia,0.5496,Female,,Quintile 1,2006.0,,,
3165,Lower middle income countries,Central and Southern Asia,0.7445,Female,,Quintile 2,2006.0,,,
3166,Lower middle income countries,Central and Southern Asia,0.6955,Female,,Quintile 2,2006.0,,,
3167,Lower middle income countries,Central and Southern Asia,0.7024,Female,,Quintile 2,2006.0,,,
3168,Lower middle income countries,Central and Southern Asia,0.6547,Female,,Quintile 2,2006.0,,,
3169,Lower middle income countries,Central and Southern Asia,0.7748,Female,,Quintile 2,2006.0,,,
3170,Lower middle income countries,Central and Southern Asia,0.6566,Female,,Quintile 2,2006.0,,,
3171,Lower middle income countries,Central and Southern Asia,0.8551,Female,,Quintile 3,2006.0,,,
3172,Lower middle income countries,Central and Southern Asia,0.8586,Female,,Quintile 3,2006.0,,,
3173,Lower middle income countries,Central and Southern Asia,0.8199,Female,,Quintile 3,2006.0,,,
3174,Lower middle income countries,Central and Southern Asia,0.8232,Female,,Quintile 3,2006.0,,,
3175,Lower middle income countries,Central and Southern Asia,0.8508,Female,,Quintile 3,2006.0,,,
3176,Lower middle income countries,Central and Southern Asia,0.7435,Female,,Quintile 3,2006.0,,,
3177,Lower middle income countries,Central and Southern Asia,0.9467,Female,,Quintile 4,2006.0,,,
3178,Lower middle income countries,Central and Southern Asia,0.9271,Female,,Quintile 4,2006.0,,,
3179,Lower middle income countries,Central and Southern Asia,0.9075,Female,,Quintile 4,2006.0,,,
3180,Lower middle income countries,Central and Southern Asia,0.9011,Female,,Quintile 4,2006.0,,,
3181,Lower middle income countries,Central and Southern Asia,0.9517,Female,,Quintile 4,2006.0,,,
3182,Lower middle income countries,Central and Southern Asia,0.8637,Female,,Quintile 4,2006.0,,,
3183,Lower middle income countries,Central and Southern Asia,0.9818,Female,,Quintile 5,2006.0,,,
3184,Lower middle income countries,Central and Southern Asia,0.9623,Female,,Quintile 5,2006.0,,,
3185,Lower middle income countries,Central and Southern Asia,0.9663,Female,,Quintile 5,2006.0,,,
3186,Lower middle income countries,Central and Southern Asia,0.9806,Female,,Quintile 5,2006.0,,,
3187,Lower middle income countries,Central and Southern Asia,0.9855,Female,,Quintile 5,2006.0,,,
3188,Lower middle income countries,Central and Southern Asia,0.9535,Female,,Quintile 5,2006.0,,,
3189,Lower middle income countries,Central and Southern Asia,0.678,,,Quintile 1,2006.0,,,
3190,Lower middle income countries,Central and Southern Asia,0.7831,,,Quintile 1,2006.0,,,
3191,Lower middle income countries,Central and Southern Asia,0.7385,,,Quintile 1,2006.0,,,
3192,Lower middle income countries,Central and Southern Asia,0.6769,,,Quintile 1,2006.0,,,
3193,Lower middle income countries,Central and Southern Asia,0.7153,,,Quintile 1,2006.0,,,
3194,Lower middle income countries,Central and Southern Asia,0.6808,,,Quintile 1,2006.0,,,
3195,Lower middle income countries,Central and Southern Asia,0.8552,,,Quintile 2,2006.0,,,
3196,Lower middle income countries,Central and Southern Asia,0.8171,,,Quintile 2,2006.0,,,
3197,Lower middle income countries,Central and Southern Asia,0.839,,,Quintile 2,2006.0,,,
3198,Lower middle income countries,Central and Southern Asia,0.8111,,,Quintile 2,2006.0,,,
3199,Lower middle income countries,Central and Southern Asia,0.886,,,Quintile 2,2006.0,,,
3200,Lower middle income countries,Central and Southern Asia,0.779,,,Quintile 2,2006.0,,,
3201,Lower middle income countries,Central and Southern Asia,0.9306,,,Quintile 3,2006.0,,,
3202,Lower middle income countries,Central and Southern Asia,0.9238,,,Quintile 3,2006.0,,,
3203,Lower middle income countries,Central and Southern Asia,0.9107,,,Quintile 3,2006.0,,,
3204,Lower middle income countries,Central and Southern Asia,0.9128,,,Quintile 3,2006.0,,,
3205,Lower middle income countries,Central and Southern Asia,0.931,,,Quintile 3,2006.0,,,
3206,Lower middle income countries,Central and Southern Asia,0.8499,,,Quintile 3,2006.0,,,
3207,Lower middle income countries,Central and Southern Asia,0.9763,,,Quintile 4,2006.0,,,
3208,Lower middle income countries,Central and Southern Asia,0.9645,,,Quintile 4,2006.0,,,
3209,Lower middle income countries,Central and Southern Asia,0.9573,,,Quintile 4,2006.0,,,
3210,Lower middle income countries,Central and Southern Asia,0.9558,,,Quintile 4,2006.0,,,
3211,Lower middle income countries,Central and Southern Asia,0.9793,,,Quintile 4,2006.0,,,
3212,Lower middle income countries,Central and Southern Asia,0.9316,,,Quintile 4,2006.0,,,
3213,Lower middle income countries,Central and Southern Asia,0.9918,,,Quintile 5,2006.0,,,
3214,Lower middle income countries,Central and Southern Asia,0.9827,,,Quintile 5,2006.0,,,
3215,Lower middle income countries,Central and Southern Asia,0.9844,,,Quintile 5,2006.0,,,
3216,Lower middle income countries,Central and Southern Asia,0.9916,,,Quintile 5,2006.0,,,
3217,Lower middle income countries,Central and Southern Asia,0.9937,,,Quintile 5,2006.0,,,
3218,Lower middle income countries,Central and Southern Asia,0.978,,,Quintile 5,2006.0,,,
3219,Lower middle income countries,Central and Southern Asia,0.9401,,Rural,,2013.0,15.15,52.81,71.58
3220,Lower middle income countries,Central and Southern Asia,0.9598,,Urban,,2013.0,24.79,60.540000000000006,74.85000000000001
3221,Lower middle income countries,Central and Southern Asia,0.8684,,Rural,,2013.0,10.76,42.370000000000005,70.46
3222,Lower middle income countries,Central and Southern Asia,0.9686,,Rural,,2013.0,14.64,53.959999999999994,84.63000000000001
3223,Lower middle income countries,Central and Southern Asia,0.951,,Rural,,2013.0,20.080000000000002,58.64,78.19
3224,Lower middle income countries,Central and Southern Asia,0.9393,,Rural,,2013.0,14.75,52.39,71.03
3225,Lower middle income countries,Central and Southern Asia,0.946,,Urban,,2013.0,21.78,65.53,65.67
3226,Lower middle income countries,Central and Southern Asia,0.9746,,Urban,,2013.0,25.61,76.25999999999999,81.78
3227,Lower middle income countries,Central and Southern Asia,0.9579,,Urban,,2013.0,24.65,58.940000000000005,74.36
3228,Lower middle income countries,Central and Southern Asia,0.8786,Female,Rural,,2013.0,12.82,57.08,78.34
3229,Lower middle income countries,Central and Southern Asia,0.9185,Female,Urban,,2013.0,21.62,64.9,79.52
3230,Lower middle income countries,Central and Southern Asia,1.0,Male,Rural,,2013.0,17.66,48.949999999999996,65.25999999999999
3231,Lower middle income countries,Central and Southern Asia,1.0,Male,Urban,,2013.0,28.910000000000004,56.35,70.08
3232,Lower middle income countries,Central and Southern Asia,0.5812,Female,Rural,Quintile 1,2013.0,1.3599999999999999,23.68,58.199999999999996
3233,Lower middle income countries,Central and Southern Asia,0.7896,Female,Rural,Quintile 2,2013.0,5.7299999999999995,47.370000000000005,75.76
3234,Lower middle income countries,Central and Southern Asia,0.907,Female,Rural,Quintile 3,2013.0,11.31,61.260000000000005,84.19
3235,Lower middle income countries,Central and Southern Asia,0.9555,Female,Rural,Quintile 4,2013.0,18.39,70.73,86.79
3236,Lower middle income countries,Central and Southern Asia,0.9868,Female,Rural,Quintile 5,2013.0,29.5,85.38,93.45
3237,Lower middle income countries,Central and Southern Asia,0.5272,Female,Urban,Quintile 1,2013.0,2.21,16.71,59.099999999999994
3238,Lower middle income countries,Central and Southern Asia,0.7329,Female,Urban,Quintile 2,2013.0,2.08,43.769999999999996,70.56
3239,Lower middle income countries,Central and Southern Asia,0.8012,Female,Urban,Quintile 3,2013.0,6.77,48.72,81.08999999999999
3240,Lower middle income countries,Central and Southern Asia,0.8614,Female,Urban,Quintile 4,2013.0,11.85,50.05,76.31
3241,Lower middle income countries,Central and Southern Asia,0.9649,Female,Urban,Quintile 5,2013.0,31.509999999999998,82.23,84.78999999999999
3242,Lower middle income countries,Central and Southern Asia,1.0,Male,Rural,Quintile 1,2013.0,4.81,22.21,44.59
3243,Lower middle income countries,Central and Southern Asia,1.0,Male,Rural,Quintile 2,2013.0,9.33,39.69,60.61
3244,Lower middle income countries,Central and Southern Asia,1.0,Male,Rural,Quintile 3,2013.0,15.909999999999998,52.73,72.05
3245,Lower middle income countries,Central and Southern Asia,1.0,Male,Rural,Quintile 4,2013.0,24.779999999999998,64.4,77.31
3246,Lower middle income countries,Central and Southern Asia,1.0,Male,Rural,Quintile 5,2013.0,39.94,77.73,87.01
3247,Lower middle income countries,Central and Southern Asia,1.0,Male,Urban,Quintile 1,2013.0,2.9499999999999997,20.77,41.04
3248,Lower middle income countries,Central and Southern Asia,1.0,Male,Urban,Quintile 2,2013.0,6.3100000000000005,38.89,51.51
3249,Lower middle income countries,Central and Southern Asia,1.0,Male,Urban,Quintile 3,2013.0,8.16,38.34,61.41
3250,Lower middle income countries,Central and Southern Asia,1.0,Male,Urban,Quintile 4,2013.0,14.16,45.839999999999996,63.370000000000005
3251,Lower middle income countries,Central and Southern Asia,1.0,Male,Urban,Quintile 5,2013.0,45.75,74.97,85.96000000000001
3252,Lower middle income countries,Central and Southern Asia,0.7211,,Rural,Quintile 1,2013.0,2.96,22.900000000000002,50.81
3253,Lower middle income countries,Central and Southern Asia,0.888,,Rural,Quintile 2,2013.0,7.51,43.16,67.77
3254,Lower middle income countries,Central and Southern Asia,0.9561,,Rural,Quintile 3,2013.0,13.65,56.55,77.75
3255,Lower middle income countries,Central and Southern Asia,0.9797,,Rural,Quintile 4,2013.0,21.51,67.52,82.22
3256,Lower middle income countries,Central and Southern Asia,0.9938,,Rural,Quintile 5,2013.0,33.95,82.0,90.38000000000001
3257,Lower middle income countries,Central and Southern Asia,0.6731,,Urban,Quintile 1,2013.0,2.55,19.139999999999997,49.75
3258,Lower middle income countries,Central and Southern Asia,0.8522,,Urban,Quintile 2,2013.0,4.07,41.120000000000005,59.58
3259,Lower middle income countries,Central and Southern Asia,0.8905,,Urban,Quintile 3,2013.0,7.53,43.6,70.0
3260,Lower middle income countries,Central and Southern Asia,0.9317,,Urban,Quintile 4,2013.0,12.8,47.75,69.6
3261,Lower middle income countries,Central and Southern Asia,0.9831,,Urban,Quintile 5,2013.0,37.41,78.75,85.32
3262,Lower middle income countries,Central and Southern Asia,0.963,,,,2013.0,18.970000000000002,58.660000000000004,75.46000000000001
3263,Lower middle income countries,Central and Southern Asia,0.9415,,,,2013.0,13.33,50.55,67.96
3264,Lower middle income countries,Central and Southern Asia,0.9423,,,,2013.0,16.99,54.43,73.22999999999999
3265,Lower middle income countries,Central and Southern Asia,0.9664,,,,2013.0,21.19,62.150000000000006,76.75999999999999
3266,Lower middle income countries,Central and Southern Asia,0.9512,,,,2013.0,23.14,57.08,73.64
3267,Lower middle income countries,Central and Southern Asia,0.9427,,,,2013.0,17.549999999999997,58.67,78.66
3268,Lower middle income countries,Central and Southern Asia,0.9124,,,,2013.0,12.7,38.61,61.39
3269,Lower middle income countries,Central and Southern Asia,0.8905,,,,2013.0,12.64,45.72,69.71000000000001
3270,Lower middle income countries,Central and Southern Asia,0.965,,,,2013.0,19.78,53.36,74.49
3271,Lower middle income countries,Central and Southern Asia,0.9586,,,,2013.0,21.41,62.739999999999995,79.0
3272,Lower middle income countries,Central and Southern Asia,0.9448,,,,2013.0,17.01,53.72,71.69
3273,Lower middle income countries,Central and Southern Asia,0.8905,Female,,,2013.0,14.97,58.720000000000006,78.59
3274,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,20.03,50.43,66.2
3275,Lower middle income countries,Central and Southern Asia,0.9212,Female,,,2013.0,16.32,65.81,81.39
3276,Lower middle income countries,Central and Southern Asia,0.8888,Female,,,2013.0,10.95,57.379999999999995,77.49000000000001
3277,Lower middle income countries,Central and Southern Asia,0.8847,Female,,,2013.0,15.129999999999999,57.589999999999996,77.72
3278,Lower middle income countries,Central and Southern Asia,0.9268,Female,,,2013.0,17.24,66.14999999999999,84.14
3279,Lower middle income countries,Central and Southern Asia,0.8959,Female,,,2013.0,19.15,60.41,82.72
3280,Lower middle income countries,Central and Southern Asia,0.8763,Female,,,2013.0,16.28,60.040000000000006,82.0
3281,Lower middle income countries,Central and Southern Asia,0.8453,Female,,,2013.0,12.36,45.26,66.3
3282,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,22.06,52.51,70.12
3283,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,16.21,44.21,58.650000000000006
3284,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,19.25,51.44,68.75
3285,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,25.34,58.35,69.74000000000001
3286,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,27.24,53.99,66.46
3287,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,18.759999999999998,57.53,75.61
3288,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,13.059999999999999,32.59,56.3
3289,Lower middle income countries,Central and Southern Asia,0.7844,Female,,,2013.0,10.42,51.05,72.11
3290,Lower middle income countries,Central and Southern Asia,0.9351,Female,,,2013.0,12.47,59.540000000000006,65.93
3291,Lower middle income countries,Central and Southern Asia,0.9102,Female,,,2013.0,18.17,63.51,82.53
3292,Lower middle income countries,Central and Southern Asia,0.8889,Female,,,2013.0,14.719999999999999,58.35,78.39
3293,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,14.85,42.059999999999995,67.28
3294,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,25.369999999999997,47.39,84.78999999999999
3295,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,25.09,62.06,75.88000000000001
3296,Lower middle income countries,Central and Southern Asia,1.0,Male,,,2013.0,19.59,49.44,65.28
3297,Lower middle income countries,Central and Southern Asia,0.5761,Female,,Quintile 1,2013.0,1.43,23.14,58.29
3298,Lower middle income countries,Central and Southern Asia,0.785,Female,,Quintile 2,2013.0,5.42,47.08,75.36
3299,Lower middle income countries,Central and Southern Asia,0.8953,Female,,Quintile 3,2013.0,10.79,59.730000000000004,83.85000000000001
3300,Lower middle income countries,Central and Southern Asia,0.9378,Female,,Quintile 4,2013.0,16.82,66.7,84.86
3301,Lower middle income countries,Central and Southern Asia,0.9741,Female,,Quintile 5,2013.0,30.59,83.77,88.57000000000001
3302,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,4.65,22.07,44.269999999999996
3303,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 2,2013.0,9.1,39.629999999999995,59.77
3304,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 3,2013.0,14.91,51.31,70.76
3305,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 4,2013.0,22.78,60.33,74.42
3306,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 5,2013.0,43.03,76.21,86.44
3307,Lower middle income countries,Central and Southern Asia,0.6971,Female,,Quintile 1,2013.0,2.1,28.249999999999996,59.46
3308,Lower middle income countries,Central and Southern Asia,0.5031,Female,,Quintile 1,2013.0,0.54,17.5,51.09
3309,Lower middle income countries,Central and Southern Asia,0.502,Female,,Quintile 1,2013.0,2.04,24.59,53.92
3310,Lower middle income countries,Central and Southern Asia,0.6961,Female,,Quintile 1,2013.0,1.48,32.11,69.06
3311,Lower middle income countries,Central and Southern Asia,0.6121,Female,,Quintile 1,2013.0,1.83,21.7,68.58999999999999
3312,Lower middle income countries,Central and Southern Asia,0.6124,Female,,Quintile 1,2013.0,1.35,28.02,65.45
3313,Lower middle income countries,Central and Southern Asia,0.4993,Female,,Quintile 1,2013.0,0.49,14.37,47.48
3314,Lower middle income countries,Central and Southern Asia,0.8808,Female,,Quintile 2,2013.0,6.859999999999999,61.660000000000004,85.28
3315,Lower middle income countries,Central and Southern Asia,0.7216,Female,,Quintile 2,2013.0,1.47,38.37,64.57000000000001
3316,Lower middle income countries,Central and Southern Asia,0.7441,Female,,Quintile 2,2013.0,3.88,44.86,74.14
3317,Lower middle income countries,Central and Southern Asia,0.8703,Female,,Quintile 2,2013.0,9.719999999999999,59.01,83.23
3318,Lower middle income countries,Central and Southern Asia,0.7982,Female,,Quintile 2,2013.0,8.58,43.07,81.39999999999999
3319,Lower middle income countries,Central and Southern Asia,0.8002,Female,,Quintile 2,2013.0,6.4,53.74,82.58
3320,Lower middle income countries,Central and Southern Asia,0.7169,Female,,Quintile 2,2013.0,2.1999999999999997,29.720000000000002,61.160000000000004
3321,Lower middle income countries,Central and Southern Asia,0.9691,Female,,Quintile 3,2013.0,20.22,74.91,90.4
3322,Lower middle income countries,Central and Southern Asia,0.8799,Female,,Quintile 3,2013.0,4.34,54.03,81.01
3323,Lower middle income countries,Central and Southern Asia,0.8759,Female,,Quintile 3,2013.0,8.41,57.42,83.97
3324,Lower middle income countries,Central and Southern Asia,0.9159,Female,,Quintile 3,2013.0,12.4,63.029999999999994,87.89
3325,Lower middle income countries,Central and Southern Asia,0.9017,Female,,Quintile 3,2013.0,13.68,64.21,85.9
3326,Lower middle income countries,Central and Southern Asia,0.9178,Female,,Quintile 3,2013.0,17.31,66.96,90.0
3327,Lower middle income countries,Central and Southern Asia,0.8052,Female,,Quintile 3,2013.0,6.13,37.19,68.97
3328,Lower middle income countries,Central and Southern Asia,0.9824,Female,,Quintile 4,2013.0,28.87,84.07,93.52000000000001
3329,Lower middle income countries,Central and Southern Asia,0.9501,Female,,Quintile 4,2013.0,11.110000000000001,71.76,85.61999999999999
3330,Lower middle income countries,Central and Southern Asia,0.8944,Female,,Quintile 4,2013.0,13.3,54.559999999999995,81.17999999999999
3331,Lower middle income countries,Central and Southern Asia,0.9682,Female,,Quintile 4,2013.0,19.74,74.21,84.83000000000001
3332,Lower middle income countries,Central and Southern Asia,0.9568,Female,,Quintile 4,2013.0,28.59,73.17,91.67
3333,Lower middle income countries,Central and Southern Asia,0.9754,Female,,Quintile 4,2013.0,27.57,84.53,96.35000000000001
3334,Lower middle income countries,Central and Southern Asia,0.92,Female,,Quintile 4,2013.0,11.92,57.709999999999994,72.42
3335,Lower middle income countries,Central and Southern Asia,0.9962,Female,,Quintile 5,2013.0,44.46,89.0,98.19
3336,Lower middle income countries,Central and Southern Asia,0.9845,Female,,Quintile 5,2013.0,24.86,81.93,96.04
3337,Lower middle income countries,Central and Southern Asia,0.9545,Female,,Quintile 5,2013.0,27.35,79.25,82.41000000000001
3338,Lower middle income countries,Central and Southern Asia,0.9923,Female,,Quintile 5,2013.0,34.69,88.81,96.41
3339,Lower middle income countries,Central and Southern Asia,0.9942,Female,,Quintile 5,2013.0,51.77,93.47,88.73
3340,Lower middle income countries,Central and Southern Asia,0.9883,Female,,Quintile 5,2013.0,43.22,92.88,91.4
3341,Lower middle income countries,Central and Southern Asia,0.9825,Female,,Quintile 5,2013.0,28.21,80.39,85.92999999999999
3342,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,4.01,22.17,47.14
3343,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,4.64,15.32,28.549999999999997
3344,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,3.04,19.08,46.52
3345,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,12.0,29.45,50.82
3346,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,5.72,31.209999999999997,50.09
3347,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,3.4099999999999997,26.97,64.29
3348,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 1,2013.0,0.73,10.93,30.270000000000003
3349,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 2,2013.0,13.089999999999998,44.91,70.24000000000001
3350,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 2,2013.0,6.619999999999999,27.22,46.46
3351,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 2,2013.0,6.79,35.82,61.42999999999999
3352,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 2,2013.0,11.93,52.16,58.51
3353,Lower middle income countries,Central and Southern Asia,1.0,Male,,Quintile 2,2013.0,10.72,42.4,59.01
